what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1461325075177
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1461325075177
os,sysinfo,,,"win32",1461325075180
arch,sysinfo,,,"x86_64",1461325075180
ws,sysinfo,,,"win32",1461325075180
locale,sysinfo,,,"zh_CN",1461325075180
processors,sysinfo,,,"4",1461325075180
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1461325075180
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1461325075180
java.specification.name,sysinfo,,,"Java Platform API Specification",1461325075180
java.specification.vendor,sysinfo,,,"Oracle Corporation",1461325075180
java.specification.version,sysinfo,,,"1.8",1461325075180
java.vendor,sysinfo,,,"Oracle Corporation",1461325075180
java.version,sysinfo,,,"1.8.0_31",1461325075180
java.vm.info,sysinfo,,,"mixed mode",1461325075180
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1461325075180
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1461325075180
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1461325075180
java.vm.specification.version,sysinfo,,,"1.8",1461325075180
java.vm.vendor,sysinfo,,,"Oracle Corporation",1461325075180
java.vm.version,sysinfo,,,"25.31-b07",1461325075180
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1461325075182
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461325075769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461325075853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461325078918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461325085653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1461325085667
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1461325085667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461325088606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461325092755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1461325092761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461325095986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461325211338
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1461325220521
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1461325220526
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1461325220560
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1461325220560
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1461325220570
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1461325220578
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1461325220589
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1461325220590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461325220709
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1461325237415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1461325245102
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110510,"org.eclipse.equinox.p2.updatesite",1461325264978
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1461325265860
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1461325265866
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.touchpoint.natives",1461325265866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1461325294871
