what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1466912336183
java.specification.version,sysinfo,,,"1.8",1466912336183
java.vendor,sysinfo,,,"Oracle Corporation",1466912336183
java.version,sysinfo,,,"1.8.0_31",1466912336183
java.vm.info,sysinfo,,,"mixed mode",1466912336183
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1466912336183
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1466912336183
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1466912336183
java.vm.specification.version,sysinfo,,,"1.8",1466912336183
java.vm.vendor,sysinfo,,,"Oracle Corporation",1466912336183
java.vm.version,sysinfo,,,"25.31-b07",1466912336183
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1466912336194
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1466912336354
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1466912336420
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1466912336491
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1466912336567
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1466912336755
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1466912336759
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1466912336777
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1466912336782
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1466912336810
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466912338824
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1466912339120
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1466912346185
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1466912346270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466912349041
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1466912351733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466912354338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466912356281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466912362056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466912368288
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466912368369
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1466912368538
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466912368592
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1466912371688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466912381343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466912391541
