what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467026512551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1467026514795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1467026515799
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1467026517107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1467026519796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467026661447
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467026671680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467026672244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467026878628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027255581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027264944
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027266678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027267735
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027323513
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1467027324902
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027325077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027330203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027331038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1467027338544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1467027340156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027350474
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1467027350491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027362437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1467027363930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027364749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027372460
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1467027378111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027378917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027379108
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1467027382071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027383270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027383500
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1467027387199
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1467027389929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1467027391598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1467027393563
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1467027394328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1467027396054
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027422388
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027440599
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1467027440602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027460399
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027463849
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027467079
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027469559
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027469586
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027474376
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1467027474378
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027496118
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027496671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027567775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027662144
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1467027662170
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027663070
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027667560
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027676907
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027685176
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1467027685178
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027704207
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027712211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1467027712218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027715760
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027719467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027720236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027728698
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027730323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027733092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027733877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027741612
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027770413
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027776303
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1467027776304
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1467027776866
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467027777358
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1467027777366
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1467027778774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027780018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027781685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027783068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027811051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467027824642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467029867873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467029869571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467029900617
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467029910384
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1467029913624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467029920846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467029933853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1467029933876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467029939242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031161740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031162277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031793395
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1467031793433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031793643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031795144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031804261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031808542
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467031808635
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467031808686
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1467031811247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031815157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031816842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1467031816855
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467031818652
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1467031819544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031821050
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467031822231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031822279
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1467031822285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031834911
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031838887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031843643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031845828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031850137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1467031851225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031854664
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467031854720
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467031854751
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1467031855584
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467031855791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031856719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031865246
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1467031867927
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1467031879871
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1467031880601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031891041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031900485
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1467031903642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1467031904567
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1467031905573
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1467031909011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031909950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031910150
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1467031912934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031914906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467031915105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1467031917543
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1467031918457
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1467031920731
