what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1467191616545
java.specification.name,sysinfo,,,"Java Platform API Specification",1467191616545
java.specification.vendor,sysinfo,,,"Oracle Corporation",1467191616545
java.specification.version,sysinfo,,,"1.8",1467191616545
java.vendor,sysinfo,,,"Oracle Corporation",1467191616545
java.version,sysinfo,,,"1.8.0_31",1467191616545
java.vm.info,sysinfo,,,"mixed mode",1467191616545
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1467191616545
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1467191616545
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1467191616545
java.vm.specification.version,sysinfo,,,"1.8",1467191616545
java.vm.vendor,sysinfo,,,"Oracle Corporation",1467191616545
java.vm.version,sysinfo,,,"25.31-b07",1467191616545
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1467191616556
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1467191616948
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1467191617396
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1467191617569
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1467191617773
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1467191618066
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1467191618067
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1467191618079
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1467191618117
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1467191618118
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1467191622486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191625082
error,log,,,"Internal Error",1467191637187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191637599
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1467191641144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191643968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191647387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191650347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191656706
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191660397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1467191660785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191668069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191672596
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191673586
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1467191673589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1467191673589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191676069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1467191677228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1467191679491
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467191679626
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467191679647
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1467191682226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1467191682261
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1467191682438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1467191682664
