what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466309131721
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309143871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309154791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1466309154875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309155157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309155391
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1466309160739
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466309164813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309165712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309258760
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466309259790
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466309260729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466309260974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309261793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309262849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309263860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309302096
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1466309304557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309305503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309306596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309306697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309356766
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1466309358073
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309360580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309380220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309388988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309392183
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466309392226
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466309392268
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1466309395581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309397984
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466309398977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309399015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1466309399019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309401385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309402126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1466309402131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309405305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309407349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466309421714
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1466309423382
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466309425756
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466309425800
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1466309429631
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1466309434106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309435996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309437129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309439704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466309441597
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1466309441606
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1466309449113
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1466309453008
