what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1463032775637
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1463032775638
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1463032775647
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1463032775648
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1463032775648
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1463032775648
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1463032775649
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1463032775649
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1463032775656
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1463032775657
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1463032775662
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1463032775672
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1463032775672
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1463032775672
started,bundle,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.adt",1463032775673
started,bundle,com.android.ide.eclipse.base,23.0.7.2120684,"com.android.ide.eclipse.base",1463032775673
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1463032775673
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1463032775673
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1463032775674
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1463032775682
os,sysinfo,,,"win32",1463032775684
arch,sysinfo,,,"x86_64",1463032775684
ws,sysinfo,,,"win32",1463032775684
locale,sysinfo,,,"zh_CN",1463032775684
processors,sysinfo,,,"4",1463032775684
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1463032775684
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1463032775684
java.specification.name,sysinfo,,,"Java Platform API Specification",1463032775684
java.specification.vendor,sysinfo,,,"Oracle Corporation",1463032775684
java.specification.version,sysinfo,,,"1.8",1463032775684
java.vendor,sysinfo,,,"Oracle Corporation",1463032775684
java.version,sysinfo,,,"1.8.0_31",1463032775684
java.vm.info,sysinfo,,,"mixed mode",1463032775684
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1463032775684
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1463032775684
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1463032775684
java.vm.specification.version,sysinfo,,,"1.8",1463032775684
java.vm.vendor,sysinfo,,,"Oracle Corporation",1463032775684
java.vm.version,sysinfo,,,"25.31-b07",1463032775684
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1463032775695
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1463032775863
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1463032775965
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1463032776203
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1463032776510
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1463032776792
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1463032776794
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1463032776828
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1463032776831
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1463032776865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463032776900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463032783650
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1463032784323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1463032793525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1463032814197
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1463032814925
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1463032815311
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1463032815927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463032816930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463032888761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463032889448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463045329795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463045330832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463045339608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463045340265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463045374722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463045375951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463045377831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463045377905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463045380327
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1463045380493
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1463045380727
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1463045381076
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1463045381089
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1463045381105
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1463045381120
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1463045381143
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1463045381150
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1463045381151
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1463045381151
stopped,bundle,com.android.ide.eclipse.ndk,23.0.7.2120684,"com.android.ide.eclipse.ndk",1463045381151
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,23.0.7.2120684,"overlay.com.android.ide.eclipse.adt.overlay",1463045381168
stopped,bundle,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.adt",1463045381168
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1463045381185
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1463045381213
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1463045381215
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1463045381217
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1463045381229
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1463045381230
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1463045381247
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1463045381278
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1463045381301
