what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466151064070
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1466151064072
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466151065972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1466151065973
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466151068951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151071930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151072134
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466151072982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1466151074756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151076187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151077166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151103880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151277515
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466151279462
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466151283536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151287221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151288233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151340586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151667906
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1466151669517
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466151669732
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151672473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151672715
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151672903
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151673061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151674429
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151701520
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1466151703047
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466151703711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151707444
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151707658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151707860
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151708049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151708212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151722061
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1466151723398
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466151723609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151728079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151728303
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151728520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151728722
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151728946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151729414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151730788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151757601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151762695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151763576
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466151770955
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466151773054
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151777676
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1466151778802
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1466151779637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1466151785307
